site;plot;canopy.cover;slope.steepness;tree.richness;location;x;y;tree.species;year;ID;initial.date;date.photo;days;days.fac;initial.mass;remain.mass;removal;deco.raw;deco.adj;deco.EN;deco.MN;deco.FR;deco.JC;rel.remain;remain;loss;prime.deco;fly.prob;ant.prob;both.prob;burried;no.flies;flies_Estimator;no.other;other_Estimator;no.ants;ants_Estimator
B;V23;0,84;32,5;2;0313;3;13;Alniphyllum fortunei;2023;5;28.05.2023;03.06.2023;6;late;398;;0;6,75;6,75;7;7;6;7;0,101504495;40;358;unknown;0;0;0;0;417;2,080756378;;;;
B;V23;0,84;32,5;2;0313;3;13;Alniphyllum fortunei;2023;6;28.05.2023;31.05.2023;3;early;573;;1;;;;;;;;;;;0;0;0;;417;2,080756378;;;;
B;V23;0,84;32,5;2;0313;3;13;Alniphyllum fortunei;2023;6;28.05.2023;03.06.2023;6;late;573;;1;;;;;;;;;;;0;0;0;;417;2,080756378;;;;
B;V23;0,84;32,5;2;0207;2;7;Alniphyllum fortunei;2023;7;28.05.2023;31.05.2023;3;early;462;;0;5;3,956314348;;;5;5;0,558291017;258;204;unknown;0;0;0;0;417;2,080756378;;;;
B;V23;0,84;32,5;2;0207;2;7;Alniphyllum fortunei;2023;7;28.05.2023;03.06.2023;6;late;462;;;;;;;;;;;;;0;0;0;;417;2,080756378;;;;
B;V23;0,84;32,5;2;0207;2;7;Alniphyllum fortunei;2023;8;28.05.2023;31.05.2023;3;early;453;;0;5,25;4,206314348;6;5;5;5;0,504532469;229;224;fly;1;0;0;0;417;2,080756378;;;;
B;V23;0,84;32,5;2;0207;2;7;Alniphyllum fortunei;2023;8;28.05.2023;03.06.2023;6;late;453;;0;6,75;6,75;7;6;7;7;0,101504495;46;407;fly;1;0;0;0;417;2,080756378;;;;
B;V23;0,84;32,5;2;0207;2;7;Alniphyllum fortunei;2023;9;28.05.2023;31.05.2023;3;early;479;;0;4,5;3,456314348;;;5;4;0,660702548;316;163;unknown;0;0;0;0;417;2,080756378;;;;
B;V23;0,84;32,5;2;0207;2;7;Alniphyllum fortunei;2023;9;28.05.2023;03.06.2023;6;late;479;;;;;;;;;;;;;0;0;0;;417;2,080756378;;;;
B;V24;0,83;38,5;1;0212;2;12;Elaeocarpus chinensis;2023;1;28.05.2023;31.05.2023;3;early;424;;0;4,5;3,456314348;5;4;5;4;0,660702548;280;144;fly;1;0;0;0;237;2,180669322;;;;
B;V24;0,83;38,5;1;0212;2;12;Elaeocarpus chinensis;2023;1;28.05.2023;03.06.2023;6;late;424;;0;6,5;6,5;6;7;7;6;0,122978724;52;372;fly;1;0;0;0;237;2,180669322;;;;
B;V24;0,83;38,5;1;0212;2;12;Elaeocarpus chinensis;2023;2;28.05.2023;31.05.2023;3;early;476;;0;4;2,956314348;4;4;4;4;0,750002204;357;119;fly;1;0;0;0;237;2,180669322;;;;
B;V24;0,83;38,5;1;0212;2;12;Elaeocarpus chinensis;2023;2;28.05.2023;03.06.2023;6;late;476;;0;6,25;6,25;7;7;6;5;0,148246447;71;405;fly;1;0;0;0;237;2,180669322;;;;
B;V24;0,83;38,5;1;0212;2;12;Elaeocarpus chinensis;2023;3;28.05.2023;31.05.2023;3;early;496;;0;4,25;3,206314348;5;4;4;4;0,707345253;351;145;fly;1;0;0;0;237;2,180669322;;;;
B;V24;0,83;38,5;1;0212;2;12;Elaeocarpus chinensis;2023;3;28.05.2023;03.06.2023;6;late;496;;0;6;6;6;6;6;;0,177654142;88;408;fly;1;0;0;0;237;2,180669322;;;;
B;V24;0,83;38,5;1;0108;1;8;Elaeocarpus chinensis;2023;4;28.05.2023;31.05.2023;3;early;550;;0;4,75;3,706314348;5;4;5;5;0,610717178;336;214;fly;1;0;0;0;237;2,180669322;;;;
B;V24;0,83;38,5;1;0108;1;8;Elaeocarpus chinensis;2023;4;28.05.2023;03.06.2023;6;late;550;;0;7;7;7;7;;;0,083423357;46;504;fly;1;0;0;0;237;2,180669322;;;;
B;V24;0,83;38,5;1;0108;1;8;Elaeocarpus chinensis;2023;5;28.05.2023;31.05.2023;3;early;435;;0;4,75;3,706314348;5;5;5;4;0,610717178;266;169;fly;1;0;0;0;237;2,180669322;;;;
B;V24;0,83;38,5;1;0108;1;8;Elaeocarpus chinensis;2023;5;28.05.2023;03.06.2023;6;late;435;;0;5,75;5,75;6;7;4;6;0,21144726;92;343;fly;1;0;0;0;237;2,180669322;;;;
B;V24;0,83;38,5;1;0108;1;8;Elaeocarpus chinensis;2023;6;28.05.2023;31.05.2023;3;early;426;;0;4,25;3,206314348;4;5;4;4;0,707345253;301;125;unknown;0;0;0;0;237;2,180669322;;;;
B;V24;0,83;38,5;1;0108;1;8;Elaeocarpus chinensis;2023;6;28.05.2023;03.06.2023;6;late;426;;0;6,75;6,75;7;7;6;7;0,101504495;43;383;unknown;0;0;0;0;237;2,180669322;;;;
B;V24;0,83;38,5;1;0004;0;4;Elaeocarpus chinensis;2023;7;28.05.2023;31.05.2023;3;early;455;;1;;;;;;;;;;;0;0;0;;237;2,180669322;;;;
B;V24;0,83;38,5;1;0004;0;4;Elaeocarpus chinensis;2023;7;28.05.2023;03.06.2023;6;late;455;;1;;;;;;;;;;;0;0;0;;237;2,180669322;;;;
B;V24;0,83;38,5;1;0004;0;4;Elaeocarpus chinensis;2023;8;28.05.2023;31.05.2023;3;early;392;;1;;;;;;;;;;;0;0;0;;237;2,180669322;;;;
B;V24;0,83;38,5;1;0004;0;4;Elaeocarpus chinensis;2023;8;28.05.2023;03.06.2023;6;late;392;;1;;;;;;;;;;;0;0;0;;237;2,180669322;;;;
B;V24;0,83;38,5;1;0004;0;4;Elaeocarpus chinensis;2023;9;28.05.2023;31.05.2023;3;early;428;;0;4,25;3,206314348;5;5;4;3;0,707345253;303;125;fly;1;0;0;0;237;2,180669322;;;;
B;V24;0,83;38,5;1;0004;0;4;Elaeocarpus chinensis;2023;9;28.05.2023;03.06.2023;6;late;428;;0;7;7;7;7;;;0,083423357;36;392;fly;1;0;0;0;237;2,180669322;;;;
B;V28;0,82;19,6;8;0117;1;17;Lithocarpus glaber;2023;1;29.05.2023;31.05.2023;2;early;477;;0;4,75;4,75;5;5;5;4;0,388926052;186;291;fly;1;0;0;0;141;2,008795235;;;;
B;V28;0,82;19,6;8;0117;1;17;Lithocarpus glaber;2023;1;29.05.2023;03.06.2023;5;late;477;;0;7;7;7;7;7;7;0,083423357;40;437;fly;1;0;0;0;141;2,008795235;;;;
B;V28;0,82;19,6;8;0117;1;17;Lithocarpus glaber;2023;2;29.05.2023;31.05.2023;2;early;458;;0;5,25;5,25;6;5;5;5;0,292344143;134;324;fly;1;0;0;0;141;2,008795235;;;;
B;V28;0,82;19,6;8;0117;1;17;Lithocarpus glaber;2023;2;29.05.2023;03.06.2023;5;late;458;;0;6,5;6,5;7;7;6;6;0,122978724;56;402;fly;1;0;0;0;141;2,008795235;;;;
B;V28;0,82;19,6;8;0117;1;17;Lithocarpus glaber;2023;3;29.05.2023;31.05.2023;2;early;399;;0;4,75;4,75;5;5;4;5;0,388926052;155;244;fly;1;0;0;0;141;2,008795235;;;;
B;V28;0,82;19,6;8;0117;1;17;Lithocarpus glaber;2023;3;29.05.2023;03.06.2023;5;late;399;;0;6,75;6,75;7;7;6;7;0,101504495;41;358;fly;1;0;0;0;141;2,008795235;;;;
B;V28;0,82;19,6;8;0517;5;17;Castanopsis fargesii;2023;4;29.05.2023;31.05.2023;2;early;462;;0;3,75;3,75;5;4;3;3;0,601703041;278;184;fly;1;0;0;0;141;2,008795235;;;;
B;V28;0,82;19,6;8;0517;5;17;Castanopsis fargesii;2023;4;29.05.2023;03.06.2023;5;late;462;;0;6;6;7;7;5;5;0,177654142;82;380;fly;1;0;0;0;141;2,008795235;;;;
B;V28;0,82;19,6;8;0517;5;17;Castanopsis fargesii;2023;5;29.05.2023;31.05.2023;2;early;470;;0;5,75;5,75;6;6;5;6;0,21144726;99;371;fly;1;0;0;0;141;2,008795235;;;;
B;V28;0,82;19,6;8;0517;5;17;Castanopsis fargesii;2023;5;29.05.2023;03.06.2023;5;late;470;;0;6,75;6,75;7;7;6;7;0,101504495;48;422;fly;1;0;0;0;141;2,008795235;;;;
B;V28;0,82;19,6;8;0517;5;17;Castanopsis fargesii;2023;6;29.05.2023;31.05.2023;2;early;461;;0;5,75;5,75;6;6;5;6;0,21144726;97;364;fly;1;0;0;0;141;2,008795235;;;;
B;V28;0,82;19,6;8;0517;5;17;Castanopsis fargesii;2023;6;29.05.2023;03.06.2023;5;late;461;;0;6,75;6,75;7;7;6;7;0,101504495;47;414;fly;1;0;0;0;141;2,008795235;;;;
B;V28;0,82;19,6;8;0916;9;16;Castanopsis sclerophylla;2023;7;29.05.2023;31.05.2023;2;early;413;;1;;;;;;;;;;;0;0;0;;141;2,008795235;;;;
B;V28;0,82;19,6;8;0916;9;16;Castanopsis sclerophylla;2023;7;29.05.2023;03.06.2023;5;late;413;;1;;;;;;;;;;;0;0;0;;141;2,008795235;;;;
B;V28;0,82;19,6;8;0916;9;16;Castanopsis sclerophylla;2023;8;29.05.2023;31.05.2023;2;early;361;;0;4,5;4,5;5;5;4;4;0,441338887;159;202;fly;1;0;0;0;141;2,008795235;;;;
B;V28;0,82;19,6;8;0916;9;16;Castanopsis sclerophylla;2023;8;29.05.2023;03.06.2023;5;late;361;;0;5,5;5,5;6;6;5;5;0,249716483;90;271;fly;1;0;0;0;141;2,008795235;;;;
B;V28;0,82;19,6;8;0916;9;16;Castanopsis sclerophylla;2023;9;29.05.2023;31.05.2023;2;early;383;;0;5;5;5;5;5;5;0,338961067;130;253;fly;1;0;0;0;141;2,008795235;;;;
B;V28;0,82;19,6;8;0916;9;16;Castanopsis sclerophylla;2023;9;29.05.2023;03.06.2023;5;late;383;;0;6,666666667;6,666666667;7;7;6;;0,108265132;41;342;fly;1;0;0;0;141;2,008795235;;;;
B;W10;0,14;25,8;1;1103;11;3;Phoebe bournei;2023;1;28.05.2023;30.05.2023;2;early;309;;0;2,5;2,5;3;3;2;2;0,816537096;252;57;unknown;0;0;0;0;72;5,713473644;;;;
B;W10;0,14;25,8;1;1103;11;3;Phoebe bournei;2023;1;28.05.2023;01.06.2023;4;late;309;;0;6;6;6;6;6;6;0,177654142;55;254;unknown;0;0;0;0;72;5,713473644;;;;
B;W10;0,14;25,8;1;1103;11;3;Phoebe bournei;2023;2;28.05.2023;30.05.2023;2;early;423;;0;1,75;1,75;2;2;1;2;0,894858266;379;44;ants;0;1;0;0;72;5,713473644;;;;
B;W10;0,14;25,8;1;1103;11;3;Phoebe bournei;2023;2;28.05.2023;01.06.2023;4;late;423;;0;6;6;6;6;6;6;0,177654142;75;348;ants;0;1;0;0;72;5,713473644;;;;
B;W10;0,14;25,8;1;1103;11;3;Phoebe bournei;2023;3;28.05.2023;30.05.2023;2;early;398;;0;1;1;1;1;1;1;0,942114083;375;23;unknown;0;0;0;0;72;5,713473644;;;;
B;W10;0,14;25,8;1;1103;11;3;Phoebe bournei;2023;3;28.05.2023;01.06.2023;4;late;398;;0;4,5;4,5;6;5;4;3;0,441338887;176;222;unknown;0;0;0;0;72;5,713473644;;;;
B;W10;0,14;25,8;1;0212;2;12;Phoebe bournei;2023;4;28.05.2023;30.05.2023;2;early;422;;0;1,25;1,25;2;1;1;1;0,929140013;392;30;unknown;0;0;0;0;72;5,713473644;;;;
B;W10;0,14;25,8;1;0212;2;12;Phoebe bournei;2023;4;28.05.2023;01.06.2023;4;late;422;;0;6,75;6,75;7;6;7;7;0,101504495;43;379;unknown;0;0;0;0;72;5,713473644;;;;
B;W10;0,14;25,8;1;0212;2;12;Phoebe bournei;2023;5;28.05.2023;30.05.2023;2;early;277;;1;;;;;;;;;;;0;0;0;;72;5,713473644;;;;
B;W10;0,14;25,8;1;0212;2;12;Phoebe bournei;2023;5;28.05.2023;01.06.2023;4;late;277;;1;;;;;;;;;;;0;0;0;;72;5,713473644;;;;
B;W10;0,14;25,8;1;0212;2;12;Phoebe bournei;2023;6;28.05.2023;30.05.2023;2;early;410;;1;;;;;;;;;;;0;0;0;;72;5,713473644;;;;
B;W10;0,14;25,8;1;0212;2;12;Phoebe bournei;2023;6;28.05.2023;01.06.2023;4;late;410;;1;;;;;;;;;;;0;0;0;;72;5,713473644;;;;
B;W10;0,14;25,8;1;0816;8;16;Phoebe bournei;2023;7;28.05.2023;30.05.2023;2;early;430;;0;2,25;2,25;3;2;2;2;0,846727117;364;66;unknown;0;0;0;0;72;5,713473644;;;;
B;W10;0,14;25,8;1;0816;8;16;Phoebe bournei;2023;7;28.05.2023;01.06.2023;4;late;430;;0;4,25;4,25;5;5;4;3;0,495092336;213;217;unknown;0;0;0;0;72;5,713473644;;;;
B;W10;0,14;25,8;1;0816;8;16;Phoebe bournei;2023;8;28.05.2023;30.05.2023;2;early;426;;0;2,75;2,75;3;3;3;2;0,781932048;333;93;unknown;0;0;0;0;72;5,713473644;;;;
B;W10;0,14;25,8;1;0816;8;16;Phoebe bournei;2023;8;28.05.2023;01.06.2023;4;late;426;;0;4,5;4,5;5;6;4;3;0,441338887;188;238;unknown;0;0;0;0;72;5,713473644;;;;
B;W10;0,14;25,8;1;0816;8;16;Phoebe bournei;2023;9;28.05.2023;30.05.2023;2;early;448;;0;2;2;3;2;1;2;0,872723547;391;57;unknown;0;0;0;0;72;5,713473644;;;;
B;W10;0,14;25,8;1;0816;8;16;Phoebe bournei;2023;9;28.05.2023;01.06.2023;4;late;448;;0;6;6;6;6;6;6;0,177654142;80;368;unknown;0;0;0;0;72;5,713473644;;;;
B;W11;0,62;21,8;1;1306;13;6;Elaeocarpus glabripetalus;2023;1;28.05.2023;30.05.2023;2;early;486;;0;2,25;2,25;3;2;2;2;0,846727117;412;74;unknown;0;0;0;0;400;2,639229807;;;;
B;W11;0,62;21,8;1;1306;13;6;Elaeocarpus glabripetalus;2023;1;28.05.2023;01.06.2023;4;late;486;;0;5,5;5,5;6;6;5;5;0,249716483;121;365;unknown;0;0;0;0;400;2,639229807;;;;
B;W11;0,62;21,8;1;1306;13;6;Elaeocarpus glabripetalus;2023;2;28.05.2023;30.05.2023;2;early;437;;0;2,25;2,25;3;2;2;2;0,846727117;370;67;fly;1;0;0;0;400;2,639229807;;;;
B;W11;0,62;21,8;1;1306;13;6;Elaeocarpus glabripetalus;2023;2;28.05.2023;01.06.2023;4;late;437;;0;5,25;5,25;6;6;5;4;0,292344143;128;309;fly;1;0;0;0;400;2,639229807;;;;
B;W11;0,62;21,8;1;1306;13;6;Elaeocarpus glabripetalus;2023;3;28.05.2023;30.05.2023;2;early;505;;0;3;3;3;3;3;3;0,742855314;375;130;fly;1;0;0;0;400;2,639229807;;;;
B;W11;0,62;21,8;1;1306;13;6;Elaeocarpus glabripetalus;2023;3;28.05.2023;01.06.2023;4;late;505;;0;6,25;6,25;7;6;6;6;0,148246447;75;430;fly;1;0;0;0;400;2,639229807;;;;
